year_of_highest_suicide_rate,state_having_highest_suicide_rate,most_common_method_of_committing_suicide,causes,gender_commits_more_suicide,age_group_committing_highest_suicide,education,martial_status,method_opted_by_males,method_opted_by_females,method_opted_by_1_14,method_opted_by_15_29,method_opted_by_30_44,method_opted_by_45_59,method_opted_by_60,cause_for_male,cause_for_female,gender_commits_more_suicide_in_karnataka,gender_commits_more_suicide_in_odisha,age_group_committing_highest_suicide_in_karnataka,age_group_committing_highest_suicide_in_odisha,education_status_in_karnataka,method_opted_in_karnataka,reason_in_karnataka,critical_problem
2012,"Karnataka,Assam","By hanging","debt,Failure of crops","Male","45-59","Uneducated","Married","By hanging","By hanging","By Drowning","By Consuming Insecticides","By hanging","By Consuming Insecticides","By Consuming Insecticides","Failure of crops","Family Problems","Male","Male","30-44","45-59","Uneducated","By hanging","Failure of crops","Maybe"
2012,"Odisha,Assam","By hanging","debt,Failure of crops","Male","45-59","Uneducated","Married","By hanging","By hanging","By Consuming Insecticides","By Drowning","By hanging","By Coming Under Running Vehicles/Trains","By Consuming Insecticides","Debt","Family Problems","Female","Male","30-44","45-59","Uneducated","By hanging","Failure of crops","Yes"
2012,"Odisha,Hyderabad","By hanging","Family crisis,debt,Failure of crops","Male","30-44","Uneducated","Married","By hanging","By Consuming Insecticides","By Drowning","By Coming Under Running Vehicles/Trains","By hanging","By Consuming Insecticides","By Consuming Insecticides","Debt","Failure of crops","Male","Male","30-44","45-59","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","Poverty,debt,Failure of crops","Male","30-44","Uneducated","Married","By hanging","By Consuming Insecticides","By Coming Under Running Vehicles/Trains","By Drowning","By hanging","By Consuming Insecticides","By Consuming Insecticides","Failure of crops","Debt","Male","Female","30-44","45-59","Uneducated","By hanging","Debt","Yes"
2012,"Odisha","By Consuming Insecticides","Poverty","Male","30-44","Uneducated","Married","By hanging","By hanging","By Consuming Insecticides","By hanging","By hanging","By hanging","By hanging","Failure of crops","Debt","Male","Female","15-29","15-29","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","Poverty,Family crisis,debt,Failure of crops","Male","15-29","Uneducated","Married","By hanging","By hanging","By Drowning","By hanging","By hanging","By hanging","By hanging","Debt","Family Problems","Male","Male","15-29","15-29","Uneducated","By hanging","Failure of crops","Yes"
2011,"Hyderabad","By Consuming Insecticides","debt","Male","45-59","Educated","Un-married","By Coming Under Running Vehicles/Trains","By Consuming Insecticides","By Drowning","By Drowning","By Coming Under Running Vehicles/Trains","By hanging","By Coming Under Running Vehicles/Trains","Family Problems","Family Problems","Female","Female","30-44","45-59","Uneducated","By Consuming Insecticides","Debt","Maybe"
2011,"Hyderabad","By Drowning","debt","Female","15-29","Uneducated","Un-married","By Consuming Insecticides","By Consuming Insecticides","By Drowning","By Consuming Insecticides","By Consuming Insecticides","By Coming Under Running Vehicles/Trains","By Drowning","Debt","Family Problems","Male","Female","15-29","41640","Educated","By hanging","Family Problems","Yes"
2011,"Odisha","By hanging","debt","Male","30-44","Uneducated","Married","By hanging","By Consuming Insecticides","By Consuming Insecticides","By hanging","By hanging","By hanging","By Consuming Insecticides","Debt","Family Problems","Male","Male","30-44","45-59","Uneducated","By hanging","Poverty","Yes"
2011,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Female","15-29","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","45-59","Uneducated","By hanging","Failure of crops","Yes"
2011,"Karnataka","By hanging","Poverty,Family crisis,debt,Failure of crops","Male","45-59","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Male","45-59","60+","Uneducated","By Drowning","Debt","Yes"
2011,"Hyderabad,Assam","By hanging","Family crisis,Failure of crops","Female","45-59","Uneducated","Married","By hanging","By Consuming Insecticides","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Male","45-59","45-59","Uneducated","By hanging","Failure of crops","Yes"
2011,"Karnataka,Odisha,Hyderabad,Assam","By hanging","Family crisis,Failure of crops","Male","30-44","Uneducated","Married","By hanging","By Consuming Insecticides","By Drowning","By hanging","By hanging","By Drowning","By Consuming Insecticides","Failure of crops","Family Problems","Male","Female","30-44","15-29","Educated","By hanging","Failure of crops","Yes"
2011,"Karnataka,Odisha","By hanging","debt,Failure of crops","Male","30-44","Uneducated","Married","By hanging","By Drowning","By hanging","By Consuming Insecticides","By Drowning","By Coming Under Running Vehicles/Trains","By hanging","Failure of crops","Family Problems","Male","Female","30-44","45-59","Uneducated","By hanging","Debt","Yes"
2006,"Odisha","By Drowning","Family crisis","Male","30-44","Uneducated","Un-married","By hanging","By Drowning","By Drowning","By Drowning","By hanging","By Drowning","By Drowning","Family Problems","Family Problems","Female","Male","15-29","41640","Uneducated","By Drowning","Debt","Yes"
2006,"Karnataka,Odisha","By hanging","Family crisis","Male","45-59","Educated","Married","By hanging","By hanging","By hanging","By Consuming Insecticides","By hanging","By hanging","By hanging","Family Problems","Family Problems","Male","Male","30-44","45-59","Uneducated","By hanging","Failure of crops","Yes"
2006,"Karnataka,Odisha,Hyderabad,Assam","By hanging","Poverty,Family crisis,Failure of crops","Male","30-44","Uneducated","Married","By Coming Under Running Vehicles/Trains","By hanging","By Consuming Insecticides","By Consuming Insecticides","By Coming Under Running Vehicles/Trains","By Consuming Insecticides","By Consuming Insecticides","Failure of crops","Family Problems","Male","Female","30-44","45-59","Educated","By Drowning","Failure of crops","Maybe"
2006,"Karnataka","By Consuming Insecticides","debt","Male","15-29","Uneducated","Divorce","By hanging","By Drowning","By Drowning","By hanging","By Drowning","By Drowning","By Drowning","Failure of crops","Family Problems","Male","Male","15-29","15-29","Educated","By hanging","Debt","Yes"
